UID        PID  PPID  C STIME TTY          TIME CMD
root     10084     2  0 17:01 ?        00:00:00 [dm_bufio_cache]
root     10228     2  0 19:03 ?        00:00:00 [kworker/0:1]
root     10316     2  0 17:05 ?        00:00:00 [kdmflush]
root     10317     2  0 17:05 ?        00:00:00 [bioset]
root     10318     2  0 17:05 ?        00:00:00 [bioset]
root     10319     2  0 17:05 ?        00:00:00 [kdmflush]
root     10320     2  0 17:05 ?        00:00:00 [bioset]
root     10322     2  0 17:05 ?        00:00:00 [kdmflush]
root     10323     2  0 17:05 ?        00:00:00 [ksnaphd]
root     10325     2  0 17:05 ?        00:00:00 [kcopyd]
root     10326     2  0 17:05 ?        00:00:00 [bioset]
root     10327     2  0 17:05 ?        00:00:00 [bioset]
root     10329     2  0 17:05 ?        00:00:00 [bioset]
root     10338     1  0 17:05 ?        00:00:01 /usr/sbin/dmeventd -f
root     10504 20353  0 18:39 pts/0    00:00:00 tail -f /var/log/euca-install-07.30.2017-18.38.01.log
root     10535     2  0 17:07 ?        00:00:00 [kdmflush]
root     10536     2  0 17:07 ?        00:00:00 [bioset]
root     10537     2  0 17:07 ?        00:00:00 [bioset]
root     10538     2  0 17:07 ?        00:00:00 [kdmflush]
root     10539     2  0 17:07 ?        00:00:00 [bioset]
root     10540     2  0 17:07 ?        00:00:00 [kdmflush]
root     10542     2  0 17:07 ?        00:00:00 [ksnaphd]
root     10544     2  0 17:07 ?        00:00:00 [kcopyd]
root     10545     2  0 17:07 ?        00:00:00 [bioset]
root     10546     2  0 17:07 ?        00:00:00 [bioset]
root     10548     2  0 17:07 ?        00:00:00 [bioset]
root     11765     1  0 16:33 ?        00:00:07 sshd: root@pts/1,pts/0
root     11769 11765  0 16:33 pts/1    00:00:00 -bash
root     13264     1  0 16:38 ?        00:00:00 /usr/sbin/crond -n
root     13312     1  0 16:38 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root     13398     2  0 19:11 ?        00:00:00 [kworker/u64:1]
root     14230     1  0 16:39 ?        00:00:00 /usr/sbin/lvmetad -f
root     14265     1  0 16:39 ?        00:00:00 /usr/sbin/sshd -D
root     14306     1  0 16:39 ?        00:00:00 /sbin/auditd -n
polkitd  14406     1  0 16:40 ?        00:00:03 /usr/lib/polkit-1/polkitd --no-debug
root     14417     1  0 16:40 ?        00:00:00 /usr/bin/python -Es /usr/sbin/tuned -l -P
root     14483     1  0 16:40 ?        00:00:00 /usr/sbin/irqbalance --foreground
root     15345     2  0 19:17 ?        00:00:00 [kworker/4:0]
root     15671     1  0 18:09 ?        00:00:00 /usr/sbin/tgtd -f
root     16294     2  0 19:19 ?        00:00:00 [kworker/3:1]
root     17069     2  0 19:22 ?        00:00:00 [kworker/4:2]
root     17399     1  0 18:43 ?        00:00:00 nginx: master process /usr/sbin/nginx -c /etc/eucaconsole/nginx.conf
nginx    17400 17399  0 18:43 ?        00:00:00 nginx: worker process
nginx    17401 17399  0 18:43 ?        00:00:00 nginx: worker process
nginx    17402 17399  0 18:43 ?        00:00:00 nginx: worker process
nginx    17403 17399  0 18:43 ?        00:00:00 nginx: worker process
eucacon+ 17408     1  0 18:43 ?        00:00:00 memcached -d -p -u eucaconsole -m 64 -c 1024 -P /var/run/eucaconsole/memcached.pid -s /var/run/eucaconsole/memcached.sock -a 0700
eucacon+ 17431     1  0 18:43 ?        00:00:02 /usr/bin/python -tt /bin/eucaconsole -d -p /var/run/eucaconsole/eucaconsole.pid -l /var/log/eucaconsole_startup.log
eucacon+ 17490 17431  0 18:43 ?        00:00:03 /usr/bin/python -tt /bin/eucaconsole -d -p /var/run/eucaconsole/eucaconsole.pid -l /var/log/eucaconsole_startup.log
eucacon+ 17491 17431  0 18:43 ?        00:00:00 /usr/bin/python -tt /bin/eucaconsole -d -p /var/run/eucaconsole/eucaconsole.pid -l /var/log/eucaconsole_startup.log
eucacon+ 17492 17431  0 18:43 ?        00:00:03 /usr/bin/python -tt /bin/eucaconsole -d -p /var/run/eucaconsole/eucaconsole.pid -l /var/log/eucaconsole_startup.log
